authority_schema_version,authority_updated_through,authority_coverage,authority_parser_version,authority_source_url,authority_source_sha256,entry_id,entry_source,citation,title,appnos,date,document_kind,procedural_phase,grand_chamber,reporter_family,reporter_key,target_ecli,target_itemid,target_unavailable,coverage_note
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,26e5254d7f6ca154803bd0702d335b1812a353358f83255b0c7696edf7e63ba2,official_master,"3A.CZ s.r.o. v. the Czech Republic, no. 21835/06, § ..., 10 February 2011",3A.CZ s.r.o. v. the Czech Republic,21835/06,2011-02-10,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,8c520cd77ee4113caa803745d9185609617db5eacac5bad260f9666ea71f90d1,official_master,"A and B v. Croatia, no. 7144/15, § ..., 20 June 2019",A and B v. Croatia,7144/15,2019-06-20,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,62dd97ed17c2c597f82e14e807526c8d86846a15c89fc3c3febebe4c99828919,official_master,"A and B v. France, no. 12482/21, § ..., 8 June 2023",A and B v. France,12482/21,2023-06-08,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,00736db5afb27883b1cd5eb93773e573e7e7c058aa57d8b590dee7df9035907b,official_master,"A and B v. Georgia, no. 73975/16, § ..., 10 February 2022",A and B v. Georgia,73975/16,2022-02-10,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,339b4b2ce58e39bcf8d76ea266b2e11a1ae707e6e452cd495f3808409f8f34bd,official_master,"A and B v. Malta, no. 4986/24, § ..., 24 June 2025",A and B v. Malta,4986/24,2025-06-24,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,bd353318fbc4b66713ae149d3054627ede102958f22c6da6cdd3dce6f014f559,official_master,"A and B v. Norway [GC], nos. 24130/11 and 29758/11, § ..., 15 November 2016",A and B v. Norway,24130/11;29758/11,2016-11-15,unknown,unknown,True,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,02e3dfac9c553a5241fc24f0d60a58f4414e0760a3f25cdd0b774f232b1013be,official_master,"A and B v. Romania, nos. 48442/16 and 48831/16, § ..., 2 June 2020",A and B v. Romania,48442/16;48831/16,2020-06-02,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,79e4e9c6b590533a4ecdacd2a0551547fae5b8685f75489ab8c614832e6a6c62,official_master,"A and Others v. Denmark, 8 February 1996, § ..., Reports of Judgments and Decisions 1996-I",A and Others v. Denmark,,1996-02-08,judgment,merits,False,reports,REPORTS:1996:I:::,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,c157bc5cd8cfc74df41592c6fb6fe358c9506a45aa7a63e0e6b4a74064a48e6a,official_master,"A and Others v. Iceland, nos. 25133/20 and 31856/20, § ..., 15 November 2022",A and Others v. Iceland,25133/20;31856/20,2022-11-15,unknown,unknown,False,,,,,False,
citation-authority/v1,2026-07-10,full,6,https://www.echr.coe.int/documents/d/echr/case_law_references_eng,d5ded3abd3de67cdc3c0dd43b37de0b80f8558e40621e75d63c03faa2f3b07ee,59090291141eabfbe4de6dab95c7c0dec0cf91e900e1d9c6066b7cd0c467555d,official_master,"A and Others v. Italy, no. 17791/22, § ..., 7 September 2023",A and Others v. Italy,17791/22,2023-09-07,unknown,unknown,False,,,,,False,
